name,color,age,sex,country,grumpy,fearful_of_people,playful,friendly_to_people,clumsy,greedy,owner_phone,missing_date
Bookie,brown,5,Female,UK,2,3,5,6,4,5,651-8043427,10/25/2016
Avalon,tabby,11,Female,USA,1,1,5,7,4,1,651-5088847,01/05/2021
Ophelia,grey and brown,14,Male,Spain,1,1,2,7,5,4,651-6597279,10/10/2009
Zane,grey and brown,1,Female,UK,4,1,4,7,1,6,651-5475113,10/26/2020
Kennedy,tabby,10,Female,France,1,3,5,5,2,3,651-4412485,08/21/2019
Dickens,butterscotch,19,Female,New Zealand,7,3,3,7,1,6,651-4158135,11/08/2011
Treacle,butterscotch,3,Male,UK,1,1,7,7,4,5,651-7500841,05/05/2020
Sniff,peaches and cream,10,Female,Peru,1,6,5,5,1,4,651-6482427,12/18/2013
Deanie Dumpling,black,11,Male,Peru,2,4,6,5,5,4,651-4148071,12/18/2014
Anika,orange,7,Female,New Zealand,5,4,5,5,2,6,651-7865594,05/27/2017
Halley Purry,brown,10,Male,USA,4,1,6,7,4,5,651-8674931,05/15/2012
Houdini,grey and brown,17,Female,New Zealand,2,1,3,7,3,2,651-3729502,01/05/2016
Benny,grey,4,Male,USA,1,1,7,7,1,3,651-9010051,08/04/2017
Kosta Lot,black,2,Female,China,1,3,5,5,5,5,651-8613933,01/27/2021
Ptolemy,orange,13,Male,Australia,1,2,7,7,5,1,651-7565150,09/15/2010
Dumas,black,18,Female,New Zealand,1,7,1,1,4,1,651-5547271,01/26/2011
Columbia,black,6,Female,Peru,2,5,5,4,4,2,651-2143880,07/17/2017
Alabama,grey,14,Male,USA,2,2,6,6,1,6,651-4619621,07/25/2013
Buffy,peaches and cream,11,Male,China,1,1,6,6,2,3,651-6404088,11/15/2011
Hobbles,tabby,5,Female,Germany,5,6,2,5,1,3,651-2247988,05/12/2017
Cameow,striped,7,Male,Germany,5,7,5,3,7,6,651-3397638,09/03/2019
Coconut,grey and brown,4,Female,Thailand,7,7,5,1,2,1,651-3629717,11/01/2019
Amelia,grey and brown,1,Female,Germany,6,5,6,2,2,7,651-5014839,07/17/2020
Minogue,grey,16,Male,France,2,1,7,7,2,2,651-8050041,12/21/2005
Morrison,brown,8,Female,Canada,3,4,5,5,1,3,651-4575685,04/11/2015
Strudel,striped,4,Female,Australia,1,4,6,6,2,2,651-6788807,08/28/2017
Horatio,grey,7,Male,Germany,1,3,7,5,5,7,651-5423137,04/17/2017
Alvin,grey and brown,10,Female,New Zealand,1,6,5,5,1,1,651-7280109,12/18/2014
Friday,grey and black,5,Male,Germany,2,1,5,5,3,2,651-4172983,06/12/2018
Miffy,tabby,9,Male,USA,1,7,5,4,1,1,651-2109766,12/29/2016
Sparkle,grey and brown,7,Female,Peru,7,5,3,6,3,7,651-9002648,02/04/2016
Rainer,brown,6,Male,France,1,2,6,4,1,2,651-2828688,09/22/2020
Ming,striped,10,Male,Spain,2,5,4,3,3,2,651-6377192,07/06/2013
Virgil,peaches and cream,4,Male,Spain,5,6,7,6,3,7,651-1780821,05/23/2019
Snickers,orange,16,Female,Australia,2,6,3,3,1,7,651-8176149,08/14/2008
Cindy Clawford,butterscotch,1,Male,Australia,2,6,3,2,1,2,651-2070277,04/17/2020
Purrfect,orange,4,Female,France,5,6,6,3,2,7,651-1965637,03/16/2019
Tatters,white,7,Male,UK,6,2,5,7,1,2,651-6326935,12/10/2014
Septimus,grey and brown,6,Female,Canada,2,4,7,5,1,2,651-1578392,06/30/2020
Genghis,striped,2,Female,Australia,1,4,7,6,7,2,651-8613989,07/22/2020
Socrates,salt and pepper,3,Male,UK,2,1,7,7,3,5,651-8614404,02/10/2019
Kashmir,peaches and cream,4,Female,New Zealand,3,4,7,7,7,5,651-8810964,07/18/2017
Clawsome,orange,16,Female,Thailand,6,3,7,6,2,1,651-7967133,07/06/2013
Spice,grey and brown,1,Female,USA,1,1,7,7,1,1,651-5475383,06/17/2020
Odette,butterscotch,2,Female,Peru,1,4,5,4,2,7,651-8053298,07/24/2020
Flo,butterscotch,9,Female,Peru,1,3,3,5,6,1,651-4681428,03/17/2013
Banjo,brown,15,Female,Peru,1,1,4,7,2,3,651-7758088,12/11/2013
Jesse,white,11,Female,USA,2,1,6,7,1,1,651-6749581,05/20/2012
Little Kitty,black,20,Female,Germany,1,1,3,7,1,6,651-3141686,05/04/2020
Moo,peaches and cream,12,Male,China,3,7,7,7,1,2,651-1727584,10/25/2010
Chad,grey,10,Unsure,Thailand,1,1,7,7,1,2,651-6253800,09/23/2018
Frenzy,striped,5,Male,Thailand,5,2,6,5,6,5,651-6017935,02/18/2018
Chrissy,salt and pepper,10,Female,Spain,7,6,6,6,2,6,651-4253457,11/02/2014
Neve,white,12,Male,China,1,1,7,4,1,6,651-5545969,12/05/2009
Harvey,butterscotch,2,Female,Canada,5,3,7,7,5,6,651-2627602,06/26/2019
Cancun,tabby,11,Female,France,1,5,6,3,1,2,651-6766862,06/20/2018
Kitkat,brown,6,Female,China,1,2,6,7,1,4,651-8371936,01/31/2018
Avalon,tabby,18,Female,Germany,5,2,5,5,2,6,651-4090935,06/27/2003
Mr. Pickles,grey and black,20,Female,Germany,2,5,1,2,1,1,651-5525665,09/09/2007
Snuffy,grey and brown,4,Male,Australia,5,3,5,5,7,5,651-4253359,12/02/2019
Buggers,orange,12,Female,Australia,1,1,7,7,1,6,651-4807251,06/29/2012
Suki,grey and brown,16,Female,Thailand,5,3,6,5,4,7,651-3843430,08/19/2010
Anderson Pooper,white,9,Female,China,7,4,7,5,2,2,651-5201964,06/13/2012
Malcolm,brown,18,Female,New Zealand,6,2,6,5,1,1,651-1608326,12/28/2007
Egbert,orange,2,Male,Germany,4,6,5,5,5,6,651-6676463,01/18/2021
Vaughan,striped,2,Male,New Zealand,3,5,5,3,2,6,651-6941489,11/14/2019
Crouton,black,13,,UK,3,3,7,1,3,4,651-3677323,04/24/2020
Harper,butterscotch,7,Male,UK,7,5,1,3,2,5,651-3357746,04/30/2020
Eminem,peaches and cream,19,Female,Spain,1,6,3,5,2,5,651-3114611,07/11/2009
Miranda,grey and brown,3,Male,Thailand,2,4,5,4,1,2,651-3531638,11/13/2018
Vanessa,grey and brown,7,Male,Canada,2,2,5,4,1,2,651-2674064,12/02/2020
Boromir,butterscotch,13,Female,New Zealand,1,2,4,7,5,2,651-1712165,01/08/2013
Astrophe,tabby,17,Female,Australia,2,6,6,1,1,1,651-8443392,04/02/2007
Phoenix,black,8,Male,Australia,4,1,6,7,2,7,651-2446813,12/30/2016
Isolda,grey and brown,6,Male,Spain,3,3,5,3,5,3,651-6904113,09/12/2018
Puss,tabby,5,Male,New Zealand,2,4,6,4,2,3,651-8641801,11/17/2017
Brendan,grey and brown,1,Female,Germany,4,6,4,5,2,1,651-5037055,05/05/2020
Death Breath,brown,8,Male,Peru,2,1,7,6,1,2,651-3527989,08/04/2013
Damon,salt and pepper,14,Male,China,2,5,3,4,2,3,651-8502169,12/14/2012
Cher,butterscotch,5,Male,New Zealand,2,1,7,7,6,3,651-3133952,08/21/2018
Cactus,striped,4,Female,USA,1,1,6,4,2,1,651-4700242,12/01/2018
Legs,grey and brown,6,Male,France,1,1,1,7,1,2,651-5536002,03/12/2017
Alvina,white,16,Female,Spain,1,4,6,6,5,3,651-3709269,03/23/2021
Pet-a-porter,peaches and cream,3,Female,Australia,6,6,6,2,1,3,651-4317765,08/02/2018
Spike,orange,18,Male,France,1,1,2,7,7,7,651-3869428,02/12/2007
Clicquot,brown,12,Male,UK,1,6,1,6,2,1,651-4784138,03/29/2014
Jerry,grey and black,17,Female,New Zealand,5,2,5,5,1,4,651-7510845,03/13/2012
Chenille,brown,3,Male,Thailand,1,1,4,7,1,5,651-1519680,07/03/2019
Sparkle,striped,13,Male,USA,6,1,6,6,1,6,651-8919114,01/31/2021
Nancy,orange,7,Female,China,6,1,6,7,1,2,651-3199613,08/18/2015
Colombo,orange,4,Female,Thailand,5,3,6,7,2,6,651-7700763,08/09/2018
Eden,brown,9,Male,Thailand,5,3,6,6,2,2,651-5526150,06/02/2018
Actaeon,white,8,Female,UK,2,7,6,5,1,5,651-5267116,01/05/2019
Gatsby,peaches and cream,14,Male,Spain,5,7,1,2,3,6,651-5148617,11/15/2017
Genevieve,orange,3,Male,Thailand,4,2,5,6,2,3,651-6601124,10/22/2020
Lolly,brown,10,Female,UK,7,7,2,6,1,7,651-4911324,03/08/2016
Gidget,butterscotch,7,Male,Spain,7,1,5,1,1,7,651-8497435,02/02/2018
Kerry,grey and brown,11,Female,Spain,6,1,2,4,2,4,651-2177793,04/28/2011
Gordita,black,6,Male,China,1,7,7,6,1,6,651-4261832,12/27/2016
Poser,salt and pepper,12,Female,Australia,2,2,3,6,1,3,651-1605308,04/22/2013
Edur,butterscotch,11,Female,France,6,7,2,1,5,6,651-5435012,07/03/2016
Marbles,white,3,Female,UK,1,6,6,2,1,1,651-8695291,03/16/2019
Edison,striped,6,Female,China,1,1,7,6,1,7,651-8720257,07/26/2017
Handsome,striped,4,Female,China,3,6,6,1,2,2,651-8368338,04/20/2020
Boromir,butterscotch,11,Male,New Zealand,4,2,6,5,5,7,651-5031935,09/06/2018
Monkey,striped,14,Male,Thailand,1,1,5,7,1,3,651-8051945,05/03/2010
Berkeley,striped,9,Female,Peru,1,5,6,6,1,5,651-2679332,11/30/2017
Napster,white,21,Female,UK,1,1,5,7,1,5,651-3951857,03/29/2016
Clapton,grey and black,1,Female,Germany,4,5,5,5,1,5,651-2111598,06/28/2020
Lickers,orange,18,Male,Spain,3,1,5,7,4,5,651-4947750,06/14/2016
Raffles,white,6,Female,France,2,5,7,5,1,6,651-6842816,03/05/2020
Toya,peaches and cream,21,Male,Germany,2,2,3,6,4,1,651-8751624,01/13/2012
Gertrude,butterscotch,10,Female,Peru,5,4,2,4,1,2,651-8178196,02/11/2013
Zippo,grey and black,4,Female,China,1,5,5,6,4,6,651-2457278,03/10/2019
Spot,salt and pepper,2,Female,UK,1,1,1,7,1,1,651-8865223,02/01/2021
Zabar,butterscotch,11,Male,Spain,1,1,6,7,1,4,651-8985392,07/22/2011
Mrs. Norris,orange,8,Male,USA,1,1,6,7,1,6,651-5937774,08/02/2018
Esmeralda,butterscotch,5,Female,USA,3,5,5,6,5,4,651-6809099,04/09/2019
Macduff,butterscotch,4,Male,New Zealand,1,5,5,3,1,1,651-5905246,01/16/2018
Perceval,salt and pepper,6,Male,USA,6,6,5,3,4,4,651-2360897,03/16/2016
Zowie,peaches and cream,8,Male,Thailand,1,2,5,4,6,6,651-6307189,07/24/2016
Kirsten,salt and pepper,14,Female,France,2,2,5,6,5,4,651-7073764,05/08/2018
Anest,butterscotch,11,Female,Thailand,2,2,5,6,1,6,651-6054334,08/06/2018
Mandy,striped,12,Male,Spain,2,4,5,6,3,3,651-8786225,06/24/2017
Beastie,tabby,2,Female,Peru,1,3,6,6,1,3,651-4351045,05/19/2019
Thunderpants,peaches and cream,11,Male,Spain,6,6,5,5,2,2,651-8751667,11/23/2010
Sassy,striped,9,Female,New Zealand,2,2,5,7,2,1,651-2291317,11/06/2018
Cyber,orange,9,Female,New Zealand,3,5,6,5,1,2,651-5751264,07/28/2016
Tate,brown,13,Male,UK,2,1,5,7,1,6,651-6402859,03/12/2011
Pluto,brown,12,Male,Peru,6,1,6,5,5,7,651-7216257,09/25/2020
Chelsea,orange,18,Female,France,1,7,5,1,3,2,651-2211874,08/31/2007
Basil,tabby,11,Male,Canada,1,1,6,7,2,6,651-4083512,02/02/2018
Dough Boy,white,14,Male,USA,1,1,6,7,3,3,651-6008747,12/03/2017
Aloysia,grey and black,15,Female,Thailand,1,5,6,6,3,2,651-4590421,06/13/2019
Eileen,grey and black,1,Female,Peru,2,2,7,7,2,4,651-3013626,10/18/2020
Dogone,butterscotch,21,Male,Canada,4,2,4,3,2,4,651-5133006,04/07/2018
Razzle,tabby,7,Female,Australia,2,4,7,5,2,2,651-5320192,07/12/2016
Bootstrap Bill,white,15,Male,Canada,3,2,7,6,2,4,651-7203333,05/28/2017
Trust,grey,11,Female,Canada,4,2,7,5,1,4,651-3859948,06/10/2015
Custard,grey,10,Female,France,2,5,6,2,3,2,651-7279703,02/06/2021
Ella,black,7,Male,Peru,5,2,4,5,2,5,651-7746870,05/05/2017
Ayn,grey and brown,20,Female,China,6,6,5,2,6,2,651-2589814,05/30/2002
Peace,grey and black,7,Male,Spain,5,4,4,5,5,2,651-8179556,05/03/2017
Penny,brown,9,Female,Australia,4,5,2,5,2,2,651-4065395,08/28/2019
Eugene,white,11,Male,UK,2,4,6,5,6,2,651-6518714,10/20/2015
Cheesecake,striped,2,Female,Germany,1,2,2,6,2,1,651-5584595,08/12/2020
Gator,tabby,13,Female,Thailand,5,2,6,7,1,2,651-3272804,08/07/2009
Absolut,white,3,Male,Germany,3,1,2,7,4,6,651-6242973,07/22/2020
Abaster,salt and pepper,7,Male,Canada,1,1,6,7,1,5,651-4401005,03/13/2021
Constance,white,3,Female,Thailand,1,5,1,5,2,1,651-8081527,11/04/2018
Jelly,butterscotch,4,Male,Australia,1,2,1,5,7,2,651-3048868,12/13/2020
Sophie,peaches and cream,5,Female,Peru,5,2,5,5,1,5,651-7569163,11/15/2019
Jacques Pierre,striped,8,Male,New Zealand,2,3,6,6,4,3,651-2697388,04/29/2015
Margaret,peaches and cream,3,Male,Australia,1,2,4,5,3,3,651-1871508,09/16/2019
Whispurr,salt and pepper,3,Female,UK,2,2,4,5,2,4,651-3406887,05/25/2020
Shakespeare,orange,18,Male,New Zealand,5,5,3,5,1,3,651-8870808,09/03/2010
Peggy,grey and brown,2,Female,Peru,3,2,5,7,1,2,651-4379747,06/21/2020
Dwezil,peaches and cream,3,Male,Canada,4,2,5,6,1,2,651-3235156,05/02/2020
Achal,grey and black,20,Female,France,7,5,3,1,1,3,651-3913302,04/13/2015
Celina,striped,10,Female,Canada,3,6,6,3,1,7,651-3274283,11/17/2011
Peregrin,brown,3,Male,Thailand,2,5,7,5,5,6,651-4452410,10/14/2019
Winslow,salt and pepper,21,Male,Thailand,7,3,2,6,1,7,651-2660800,07/24/2002
Spaghetti,black,13,Male,Thailand,3,5,6,1,1,5,651-7622728,06/22/2013
Irene,orange,19,Female,Australia,2,6,6,3,5,3,651-7472611,03/11/2016
Huggie,grey,2,Male,UK,2,1,5,7,7,1,651-3600415,01/17/2020
Vivaldi,black,21,Female,Spain,1,2,7,7,6,5,651-2522213,10/31/2016
Adissechen,peaches and cream,14,Male,Spain,4,1,5,7,5,2,651-2153140,05/27/2007
Ragamuffin,black,6,Male,Canada,1,4,7,6,1,2,651-4731412,05/10/2015
Grendel,tabby,2,Female,USA,1,3,7,3,2,1,651-8977011,01/11/2020
Napoleon,white,8,Male,Thailand,6,7,2,3,1,7,651-8471432,05/03/2013
Roscoe,black,8,Male,Germany,1,4,4,4,1,4,651-7585637,10/26/2020
Baldy,striped,12,Male,Canada,7,7,1,1,4,7,651-7176257,05/14/2019
Winnie,black,10,Female,France,7,1,1,4,1,1,651-8143767,09/08/2013
Garfunkel,grey,7,Male,China,1,7,7,1,1,1,651-1881156,02/19/2015
Friedmann,white,20,Female,Australia,2,1,6,6,1,7,651-3555128,02/20/2021
Migrane,orange,2,Female,Peru,1,6,1,4,1,1,651-3236204,05/23/2019
Jade,white,14,Female,Australia,2,3,6,6,2,4,651-8485424,06/03/2018
Coffee,black,1,Female,France,2,3,2,4,2,2,651-4510418,07/16/2020
Make My Day,brown,3,Female,UK,2,3,5,5,5,3,651-3751530,09/03/2020
Bollinger,butterscotch,1,Female,France,6,6,4,5,1,4,651-5812276,07/30/2020
Peppa,striped,3,Female,New Zealand,4,3,4,5,5,4,651-2863789,05/15/2019
Lavinia,grey,4,Male,Thailand,2,4,6,5,2,4,651-4919124,06/25/2018
Oberon,brown,21,Female,France,1,7,6,6,1,7,651-2158138,11/05/2020
Rapatap & Pupadup,striped,8,Female,UK,1,1,7,7,1,1,651-7832225,01/17/2018
Me-Too,peaches and cream,16,Male,Canada,1,2,2,6,1,7,651-8909998,08/28/2010
Boodles,grey,4,Female,Australia,3,6,3,2,1,1,651-2683648,03/25/2020
Mimi,striped,12,Male,New Zealand,2,5,6,2,2,1,651-9014960,11/25/2016
Bowser,butterscotch,15,Male,Peru,1,1,3,6,1,5,651-1541720,12/26/2015
Justin,grey,5,Female,Canada,2,2,5,7,4,7,651-7802884,01/02/2019
Kitkat,grey,20,Male,Canada,1,1,7,7,6,7,651-4507629,04/28/2011
Crankie Frankie,peaches and cream,16,Male,Australia,1,2,6,6,3,3,651-4487637,05/17/2009
Luther,salt and pepper,7,Female,Germany,3,7,5,5,2,2,651-5636007,10/15/2018
Bruce,orange,10,Male,Australia,1,7,7,1,1,4,651-3222549,02/16/2015
Kitkat,grey,3,Female,Canada,1,1,7,7,1,6,651-7309831,07/26/2019
Daffodil,black,3,Female,Australia,6,5,3,6,2,7,651-2959932,10/31/2020
Sinbad,salt and pepper,7,Female,Peru,1,2,7,6,2,2,651-7350009,09/19/2019
Pud,grey,18,Male,France,2,3,7,7,2,5,651-7394134,11/30/2012
Andrew,brown,10,Female,Thailand,2,2,6,7,1,4,651-4895644,04/14/2016
Charles,striped,15,Male,UK,1,6,4,3,4,1,651-6702819,09/12/2009
Heineken,brown,3,Male,USA,1,1,2,7,2,4,651-4987034,12/13/2019
Ali McClaw,white,8,Female,Canada,1,5,6,5,4,1,651-2101871,11/07/2017
Peppa,brown,6,Male,USA,1,1,7,7,6,1,651-7807752,09/23/2015
Arlo,grey,15,Male,Peru,4,2,5,6,2,5,651-3353629,01/29/2008
Maestro,grey and brown,17,Male,France,5,2,4,2,2,1,651-5994025,05/16/2010
Bo,grey and black,8,Male,China,2,1,6,7,2,6,651-4850288,01/03/2018
Bronte,orange,12,Male,China,4,1,6,5,1,4,651-5786804,10/26/2015
Jessica,grey and brown,13,Male,USA,2,1,3,7,1,2,651-5390993,03/25/2021
Challis,striped,3,Male,UK,1,5,6,6,2,2,651-6357233,05/19/2020
Scarlett O'Hairy,peaches and cream,3,Female,New Zealand,1,2,4,6,2,4,651-7347163,04/24/2018
Toad,tabby,3,Male,Germany,2,2,6,6,1,4,651-7448680,04/25/2019
Cat-man-do,brown,9,Male,Spain,3,2,6,6,2,2,651-8054280,07/13/2016
Libearty,peaches and cream,6,Female,Thailand,5,2,4,6,1,6,651-7289023,05/15/2020
Boyd,grey and brown,2,Female,France,5,4,6,5,1,6,651-6394882,05/09/2020
Poe,peaches and cream,5,Female,UK,1,1,4,7,1,1,651-6212963,12/08/2019
Shreds,striped,1,Female,Australia,3,5,5,6,1,1,651-5411967,07/05/2020
Fenella,butterscotch,7,Male,China,3,6,7,6,1,1,651-1985498,11/08/2018
Treble,white,3,Male,Peru,6,2,6,5,2,7,651-4723040,04/10/2021
Juliet,butterscotch,19,Male,France,2,3,5,5,1,3,651-1617314,11/29/2005
Chocky,salt and pepper,2,Male,USA,1,7,5,1,1,1,651-4876999,09/12/2020
Percy,striped,2,Male,UK,6,5,3,5,2,2,651-4921886,04/06/2020
Moe Mojo,butterscotch,6,Female,Thailand,1,1,7,7,4,1,651-3263267,07/13/2016
Brenda,butterscotch,7,Male,UK,4,4,3,5,4,4,651-3865037,04/25/2014
Joey,brown,6,Male,Australia,6,6,4,5,1,4,651-9002442,09/23/2015
FiFi,brown,5,Female,Thailand,3,1,6,5,1,4,651-8514132,03/30/2017
Clicquot,butterscotch,12,Female,New Zealand,2,1,7,6,1,4,651-5845276,09/02/2014
Monkeyjoe,black,18,Female,France,3,4,6,7,2,4,651-5687887,05/31/2004
Tabbytha,brown,1,Female,Australia,2,3,5,6,4,6,651-7191084,07/02/2020
Compound,brown,11,Male,Germany,5,5,5,4,1,1,651-3254894,11/02/2020
Croissant,peaches and cream,8,Male,New Zealand,4,5,3,5,3,5,651-4048476,01/07/2017
Lauren,striped,5,Male,Canada,3,2,5,6,2,5,651-6015207,07/17/2017
Bray,brown,6,Male,UK,1,1,3,6,1,2,651-1657899,07/16/2016
Strider,orange,9,Female,USA,1,1,7,7,2,1,651-7848132,10/31/2014
Dolly,peaches and cream,10,Male,Thailand,1,1,4,6,1,5,651-3945370,09/06/2019
Booboo,peaches and cream,11,Male,UK,2,1,6,6,2,6,651-7458451,12/05/2017
Boogie,brown,1,Male,Peru,2,2,6,6,3,6,651-8318275,02/18/2021
Mosag,white,13,Female,UK,4,4,6,5,4,4,651-4480662,01/14/2017
Kerry,striped,3,Female,USA,2,1,4,7,1,2,651-4714147,04/17/2019
Anika,peaches and cream,11,Male,Spain,2,1,7,6,5,4,651-4196499,12/27/2016
Sponge,white,4,Female,Thailand,7,4,4,4,5,4,651-6467059,04/21/2019
Alvin,black,10,Female,Canada,2,5,6,6,2,1,651-8319360,02/07/2020
Acorn,salt and pepper,4,Male,Germany,1,1,3,7,1,7,651-8186443,10/16/2020
Eileen,peaches and cream,14,Female,Spain,2,1,7,6,5,3,651-4788282,09/06/2019
Dandelion,grey and black,4,Female,Germany,5,2,7,5,1,4,651-4496494,04/08/2018
Purrfect,white,3,Male,Peru,2,1,5,7,1,5,651-4332217,02/11/2020
Mallory,peaches and cream,9,,USA,5,1,7,7,1,6,651-2387115,08/19/2015
Otis,black,3,Male,UK,1,1,4,1,2,3,651-8656898,07/15/2020
Joel,butterscotch,11,Female,Peru,6,2,7,6,1,2,651-1665749,12/11/2010
Shirley,black,12,Male,China,4,2,4,5,2,4,651-6737674,08/04/2012
Waylon,tabby,6,Female,France,4,5,5,5,3,3,651-2825396,10/21/2016
Chrissy,tabby,11,Female,Canada,5,4,6,5,5,7,651-2018830,12/07/2012
Milkshake,brown,14,Male,Spain,1,4,5,5,1,2,651-1800732,08/20/2010
Gertrude,black,3,Female,Canada,4,3,2,3,1,3,651-3777946,11/29/2020
Boogie,grey and brown,4,Female,Peru,1,1,7,7,1,5,651-7664409,02/27/2020
Nutkin,black,17,Female,Peru,4,4,5,4,1,1,651-8132929,02/17/2014
Aristarchus,grey,10,Male,USA,5,7,3,3,1,2,651-2236178,08/03/2014
Pet-a-porter,striped,9,Male,China,1,7,6,4,1,3,651-4842478,07/07/2012
Macbeth,tabby,7,Male,Germany,3,4,6,7,1,3,651-2637214,05/04/2018
Collyer,peaches and cream,4,Male,Germany,2,2,4,3,2,4,651-4354580,10/12/2019
Mintie,peaches and cream,21,Female,France,5,5,6,5,6,6,651-6154631,05/18/2010
Van Gogh,tabby,20,Male,Peru,1,1,6,7,2,4,651-2875961,07/03/2020
Reynard,striped,8,Male,China,1,1,6,7,2,1,651-8797910,10/15/2013
Xerxes,grey and brown,1,Male,USA,5,2,2,4,1,1,651-6863764,03/11/2021
Roxanne,grey and black,10,Female,Germany,2,1,2,7,7,1,651-8879838,04/25/2012
CC,white,13,Male,Canada,1,7,3,1,1,7,651-6726587,10/17/2018
Toejam,tabby,7,Male,China,2,3,5,5,2,3,651-5849637,04/13/2014
Roxy,salt and pepper,19,Male,Peru,2,1,7,7,2,1,651-4466336,10/31/2017
Kona,peaches and cream,13,Female,Germany,1,1,7,7,1,3,651-5689305,09/20/2017
Basilisk,tabby,18,Male,Australia,2,6,7,4,6,7,651-7244542,11/07/2010
Barbra,brown,13,Male,Germany,5,4,5,7,4,7,651-5264422,10/28/2011
Tristan,tabby,4,Male,Australia,1,6,7,7,5,4,651-5184165,03/15/2018
Cat Sajak,white,2,Female,Spain,1,4,4,4,1,1,651-6929534,06/30/2019
Meringue,grey and black,4,Male,Australia,2,1,5,7,2,4,651-3610805,06/23/2018
Eden,white,2,Female,New Zealand,1,1,7,7,1,1,651-1786640,01/09/2021
Egbert,white,15,Male,UK,1,4,3,4,7,7,651-4327537,10/08/2012
Snickers,tabby,3,Female,Australia,2,2,6,7,2,1,651-4082159,09/15/2020
Silas,black,17,Female,USA,2,1,6,4,1,3,651-7419056,05/04/2007
Hiho,striped,4,Female,Australia,1,1,7,7,1,2,651-5197746,05/14/2017
Ayn,orange,10,Male,Spain,1,2,6,6,1,2,651-6340790,12/04/2014
Pumpkin,butterscotch,14,Male,Australia,3,6,6,7,3,2,651-5729311,09/23/2014
Monday,white,19,Male,UK,1,7,7,3,1,2,651-5412684,11/24/2014
Wuffy,peaches and cream,15,Male,USA,1,2,6,6,2,1,651-5473664,08/25/2017
Kringle,grey and black,5,Male,Spain,4,2,7,7,5,3,651-8033456,04/26/2019
Gremlin,tabby,2,Female,Canada,2,7,5,1,1,1,651-4602684,04/27/2019
Ishtar,tabby,3,Female,Germany,6,1,3,5,2,2,651-4849246,11/18/2019
Quackers,butterscotch,14,Male,Germany,5,3,5,6,3,5,651-8605350,09/29/2013
Toya,brown,7,Male,Australia,1,1,5,5,1,5,651-7104716,12/07/2015
Jaspurr,grey and black,16,Male,China,5,2,6,1,1,6,651-5587861,09/23/2009
Dwezil,salt and pepper,5,Female,UK,7,3,6,4,2,6,651-6202303,09/10/2017
Friedmann,grey,8,Male,France,1,2,7,6,1,3,651-8517203,09/16/2018
Clarence,peaches and cream,4,Female,Canada,5,2,6,6,5,7,651-5510330,09/09/2019
Grace,grey and black,15,Male,New Zealand,1,1,7,6,1,6,651-7233019,03/08/2009
Blizzard,brown,9,Female,China,4,3,6,5,2,4,651-1659223,02/03/2013
Ziggy,black,13,Female,UK,4,4,5,5,3,4,651-6916471,07/03/2020
Buttercup,salt and pepper,11,Male,Germany,3,4,3,4,2,3,651-6302130,12/30/2018
Licorice,grey and brown,7,Female,UK,3,1,7,7,1,2,651-7708774,08/25/2018
Ayesha,brown,3,Male,Australia,4,3,6,5,3,4,651-5448802,08/12/2018
Micestro,striped,5,Female,Germany,3,4,2,5,3,5,651-2203594,01/02/2017
Bluey,black,20,Female,France,1,6,2,1,1,1,651-3334726,12/03/2019
Octavia,salt and pepper,10,Male,UK,1,1,5,6,1,1,651-2282886,11/27/2014
Durand,orange,4,Female,UK,1,1,4,6,5,1,651-3634000,05/03/2019
Pocus,grey and black,18,Male,Germany,2,5,3,5,2,4,651-7640568,06/14/2013
Uranus,tabby,6,Male,Thailand,3,5,5,3,2,6,651-3500865,05/25/2015
Speed Bump,tabby,6,Male,UK,2,4,6,4,2,2,651-1936241,12/29/2019
Catalie Portman,butterscotch,20,Female,Australia,2,3,5,4,3,3,651-5238219,07/04/2017
Catastrophe,striped,7,Male,Peru,1,5,5,7,1,7,651-6113195,03/17/2016
Challis,orange,4,Male,USA,1,2,1,6,4,2,651-5271645,09/21/2018
Booth,striped,2,Male,Spain,1,5,6,4,2,1,651-2270604,02/19/2020
Tapioca,peaches and cream,17,Male,Peru,2,3,6,5,2,2,651-4369406,11/20/2008
Achlys,orange,17,Female,UK,4,4,6,4,2,2,651-1608485,06/22/2010
Pooh Bear,tabby,13,Female,Thailand,1,3,5,4,1,1,651-3915783,09/12/2013
Wuffy,orange,11,Male,USA,3,4,5,5,4,4,651-6816373,03/16/2015
Tuppence,grey and black,7,Male,Germany,3,1,5,6,1,6,651-8459653,08/31/2020
Miss Moneypenny,tabby,3,Male,New Zealand,1,3,5,5,2,6,651-3786344,03/30/2019
Mandy,peaches and cream,17,Female,Canada,7,7,7,7,1,1,651-5765942,11/13/2009
Leprechaun,salt and pepper,3,Male,UK,1,6,4,2,1,2,651-2369269,07/04/2019
Pistol,grey and brown,16,Male,Spain,3,1,5,7,6,7,651-8212135,04/22/2012
Needles,peaches and cream,4,Female,France,7,2,7,3,1,7,651-8537625,09/08/2017
Noodles,black,5,Female,Peru,1,6,5,7,4,1,651-4789197,08/31/2019
Winnie,peaches and cream,3,Male,UK,2,3,5,5,1,5,651-5700207,03/10/2019
Bayard,peaches and cream,6,Female,France,1,2,7,7,1,3,651-7290108,09/07/2017
Bugger,salt and pepper,16,Female,Canada,5,4,5,4,2,7,651-1731521,01/20/2007
